source_click_dt,clientType,source,total_user_series,ep2_same_day_users,ep10_same_day_users,ep20_same_day_users,ep30_same_day_users,ep50_same_day_users,ep2_3day_users,ep10_3day_users,ep20_3day_users,ep30_3day_users,ep50_3day_users
2026-01-28,Android,continue_watching,153120,77935,71182,67807,64597,47318,79502,73570,71507,69997,53819
2026-01-28,Android,for_you_feed,12526,8078,6381,5826,5263,3329,8385,6874,6435,5989,4022
2026-01-28,ios,search_landing_page,1695,744,548,624,582,462,769,580,673,652,569
2026-01-28,Android,series_widget_grid_2,189886,109281,66084,54577,47896,28933,111944,70469,60076,54616,35233
2026-01-28,Android,interstitials,56647,24269,15430,13586,12231,5515,25559,16947,15453,14492,7028
2026-01-28,Android,hero_widget,55630,37762,27329,25579,23758,14467,38622,28794,27643,26462,16878
2026-01-28,Android,from_notifications,13948,4308,2103,1632,1342,646,4479,2303,1912,1667,868
2026-01-28,Android,search_landing_page,19055,6020,4461,4340,4099,2953,6187,4686,4634,4489,3395
2026-01-28,Android,series_landscape_carousel,2396,1708,1281,1161,1080,712,1747,1363,1275,1214,850
2026-01-28,ios,from_mlt,2095,1419,866,766,671,430,1437,925,850,782,542
